Vs0,Vus0,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D
-54.2652196378679,-47.43205843320219,bursting,173,8.5,0.591048292108364,2.355712603062426,14.188067547686371,bursting,143,6.5,0.5433165609275865,2.1877050973528767,14.460606571694138,bursting,174,11.5,0.8268067016754191,1.0002500625156288,13.54123445689722,bursting,143,11.0,0.3985166614436435,2.0892092343048154,12.329615077393516
-54.2652196378679,-47.42713053071329,tonic_spiking,153,,,,,tonic_spiking,153,,,,,tonic_spiking,153,,,,,tonic_spiking,153,,,,
-54.2652196378679,-46.13834572376623,bursting,186,9.5,0.8353090816586108,1.0175527855507502,14.95006320383884,bursting,154,15.0,0.8752837824499062,0.49353469548909285,12.845763712084082,bursting,187,8.0,0.8069458042964923,1.1518746760352474,14.78845431248496,bursting,153,6.0,0.4509635448631396,2.45489137105683,14.391864526627495
-51.58121296171791,-56.986189524310795,tonic_spiking,136,,,,,bursting,122,32.0,0.8908991549075861,0.3903429162519273,10.445433607048166,bursting,136,18.5,0.8999006859597658,0.46192576852899714,10.508775469444904,bursting,123,16.0,0.9231465367211974,0.2784545770971111,11.068007000635438
-51.58121296171791,-56.468320806992836,tonic_spiking,141,45.0,,,10.576778993208457,bursting,127,10.5,0.8105106100795754,0.8289124668435017,12.016327692036764,tonic_spiking,140,9.0,,,11.741283850525745,bursting,127,12.0,0.8988065692643026,0.4316205192394845,11.501784923819052
-51.58121296171791,-52.259614737128516,tonic_spiking,183,,,,,bursting,162,11.0,0.7928953359097882,1.0588173010746988,13.491780979080332,bursting,182,16.5,0.9163436776526286,0.5202507608667377,13.108297686238942,bursting,162,8.5,0.6935324891955416,1.5164151944802484,14.24948096764485
-51.58121296171791,-51.65664037268168,bursting,189,16.5,0.9285929846553848,0.46428488520556216,13.947189557674179,bursting,167,10.0,0.8360221875793064,0.7250842910488344,13.809096948374636,tonic_spiking,189,11.0,,,14.058343548913973,bursting,167,7.5,0.7623546511627904,1.21124031007752,14.543070907374114
-51.58121296171791,-50.082495922771,bursting,183,8.0,0.6952153924740334,1.7027073046143357,15.454703882774838,bursting,182,6.5,0.7899064002023788,1.2648621300278278,14.78671807063215,bursting,182,6.5,0.7899064002023788,1.2648621300278278,14.78671807063215,bursting,183,8.0,0.6952153924740334,1.7027073046143357,15.454703882774838
-51.58121296171791,-49.568951420289366,tonic_spiking,209,,,,,bursting,185,43.0,0.9167062589082547,0.5001125253181967,13.172514000244584,tonic_spiking,208,,,,,bursting,184,8.5,0.6699283768788455,2.017552708564506,14.610674892372128
-51.58121296171791,-47.95548193576947,tonic_spiking,223,,,,,tonic_spiking,199,13.0,,,15.376186360766303,bursting,223,44.5,0.9534388469598102,0.3407329165033987,15.468912252749412,bursting,199,66.5,0.9814396127293231,0.11002007866435624,14.003252184772006
