peaks,spike_count,mean_isi,cv_isi,n_bursts,mean_spikes_per_burst,interburst_freq,intraburst_freq,duty_cycle,regime
106838,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
107501,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
108169,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
108842,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
109522,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
110211,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
110910,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
111620,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
112344,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
113085,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
113847,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
114636,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
115462,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
116349,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
149492,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
150149,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
150808,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
151471,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
152138,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
152811,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
153491,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
154179,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
154877,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
155586,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
156309,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
157048,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
157808,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
158594,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
159416,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
160294,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
161351,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
194318,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
194975,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
195635,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
196298,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
196966,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
197639,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
198319,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
199008,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
199706,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
