tau_i,Vi0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
44.17062526144672,-100.19958492603132,bursting,bursting,74,83,16.0,16.0,0.26896551724137924,0.2680851063829789,0.48738881442670884,0.4863221884498479,27.57541343856032,27.555608202413865,,,
44.17062526144672,-98.2750705740145,bursting,bursting,83,75,16.0,16.0,0.26699485991457295,0.2747233748271091,0.48263712927435504,0.4939735230191662,27.570150992270165,27.403331536580836,,,
44.17062526144672,-94.1611661339811,bursting,bursting,75,83,16.0,16.0,0.27182911205282345,0.2684315538469028,0.4927564797477086,0.4866416857267994,27.529433024132963,27.54248127005476,,,
44.17062526144672,-93.84527381702881,bursting,bursting,75,83,16.0,16.0,0.2759465200549795,0.2717985328147311,0.4998125702861427,0.4923440500221554,27.45239335530218,27.49109825782669,,,
44.17062526144672,-93.13852565023593,bursting,bursting,75,83,16.0,16.0,0.2700122699386504,0.27288732394366205,0.4907975460122698,0.4959333465582226,27.55853467000132,27.503496114925643,,,
44.17062526144672,-93.01396526987197,bursting,bursting,76,83,16.0,16.0,0.2753392652980069,0.27567122877870026,0.4970920117313714,0.4985914790716226,27.436119389434193,27.41644082347955,,,
44.17062526144672,-92.78411885748214,bursting,bursting,76,83,16.0,16.0,0.2760578173452036,0.27593397046046936,0.500150045013504,0.496462703239419,27.466900242120087,27.359425684733512,,,
44.17062526144672,-91.72173892393454,bursting,bursting,75,83,16.0,16.0,0.27881956663817814,0.2731271038600459,0.502739932632849,0.49141256541929773,27.37526957305298,27.411342847365542,,,
44.17062526144672,-88.71816837536491,bursting,bursting,77,83,16.0,16.0,0.278464573811843,0.2761876366527528,0.49948802477460613,0.4969191015702645,27.336694471329757,27.359425684733527,,,
44.17062526144672,-88.57314278030957,bursting,bursting,78,83,16.0,16.0,0.2782310541595758,0.2784413893271229,0.5005506056662329,0.5008389051661531,27.360312699111397,27.305944028707533,,,
44.17062526144672,-88.53522241405496,bursting,bursting,83,79,16.0,15.5,0.2847597998120063,0.26174324185425024,0.5080913548255975,0.5139274334463975,27.202843184301585,27.496611023405947,,,
