g_syn_i,Vi_threshold,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
26.058776622630926,-18.64217287385621,bursting,bursting,80,81,15.5,16.0,0.2577700225071444,0.2814999377102279,0.5057785195862732,0.4983181761554754,27.56683240434831,27.16185400337654,,,
26.058776622630926,-18.513491657593114,bursting,bursting,77,82,15.5,16.0,0.25678201566052034,0.2816568642235966,0.505178075271533,0.5026893882270145,27.59770273164492,27.146462625811715,,,
26.058776622630926,-18.25714244410362,bursting,bursting,81,81,15.5,15.5,0.2644587502262212,0.2592113276492081,0.5170764497530961,0.5075111652456352,27.425224467988087,27.479645128347702,,,
26.058776622630926,-18.063443290817037,bursting,bursting,82,80,15.5,15.5,0.26446558767257894,0.25929028327749,0.5170898185014737,0.5076657528683114,27.425224467988087,27.47897106559487,,,
26.058776622630926,-17.01011737753121,bursting,bursting,83,80,15.0,15.0,0.2676672429147676,0.2672255698192301,0.523861910000524,0.5239717055279015,27.69019795037637,27.696670640720303,,,
26.51607007797135,-22.914311639711332,bursting,bursting,75,82,16.0,16.0,0.27116148976887966,0.2725581626072723,0.4907012120319936,0.4960563520015873,27.482663391187256,27.469391543139867,,,
26.51607007797135,-21.731662231386487,bursting,bursting,75,82,16.0,16.0,0.2763486297476956,0.2725798525798528,0.4942298663108212,0.49140049140049136,27.328669145152055,27.3995862343693,[-52.       -52.       -52.       ... -53.31324  -53.31233  -53.311417],[-52.       -52.       -52.       ... -55.583572 -55.583427 -55.58328 ],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
26.51607007797135,-21.331019414577387,bursting,bursting,76,82,16.0,16.0,0.27949413727003414,0.2739682069510268,0.4978963877617068,0.4936808846761454,27.249362824070133,27.37795748781862,,,
26.51607007797135,-21.277755696486683,bursting,bursting,75,82,16.0,16.0,0.27580040663351535,0.27396446775869754,0.4899198980966612,0.4948780125699014,27.29909849114116,27.392008865235603,,,
26.51607007797135,-20.94074530858559,bursting,bursting,76,82,16.0,16.0,0.27610826409274086,0.2802377713969071,0.49753719090502013,0.5037529595486373,27.38141915906304,27.2156707077968,,,
26.51607007797135,-20.639342432714603,bursting,bursting,77,81,16.0,16.0,0.2767523103986523,0.2772408612919379,0.4955278610539876,0.5007511266900349,27.319558857398516,27.33243441796411,,,
26.51607007797135,-20.55028450245337,bursting,bursting,76,82,16.0,16.0,0.27814203532042114,0.27553191489361695,0.5024241967493154,0.4948045522018803,27.357864887227322,27.323007634444618,,,
26.51607007797135,-19.864841861022217,bursting,bursting,83,77,16.0,16.0,0.27623579828582834,0.2788108728752213,0.49830576041459035,0.4992137383620798,27.3780828506144,27.25063500295848,,,
26.51607007797135,-19.766628381718544,bursting,bursting,76,82,16.0,16.0,0.2781381247048883,0.2791012928329356,0.497030244290365,0.502071043052592,27.28647198499446,27.271203167401886,,,
26.51607007797135,-19.562622806541974,bursting,bursting,77,82,16.0,16.0,0.27872414826656017,0.2777888644981042,0.49955040463582756,0.4989024146876872,27.295815604285277,27.291813892450534,,,
26.51607007797135,-19.552808902450636,bursting,bursting,77,82,16.0,16.0,0.27994383571947934,0.27558645946748483,0.5014667903618083,0.4949025042066713,27.268782284114813,27.314846768368948,,,
26.51607007797135,-19.53567735386656,bursting,bursting,79,81,16.0,16.0,0.2768411932169822,0.2807217041922524,0.49511078103725703,0.5053950926136505,27.31310172246429,27.18558623268934,,,
26.51607007797135,-19.421761202620033,bursting,bursting,78,82,16.0,16.0,0.2797553942527592,0.2796682798951403,0.4971661529283085,0.504133897963299,27.227324259971613,27.259814870073857,,,
26.51607007797135,-18.91369146338961,bursting,bursting,76,82,16.0,16.0,0.27442295388552607,0.2777344830186784,0.4921502042423348,0.5027778476080343,27.350338310721675,27.31615475763699,,,
26.51607007797135,-18.73742354832292,bursting,bursting,79,81,16.0,15.5,0.28239864528339464,0.2826497778231779,0.49805757545572266,0.5107513151846367,27.161744967367905,27.56462440960977,,,
26.51607007797135,-18.64217287385621,bursting,bursting,85,75,15.0,16.0,0.2545273214004515,0.27414486921529163,0.5249068290378458,0.5030181086519113,27.161499089102183,27.52091006561862,,,
26.51607007797135,-18.513491657593114,bursting,bursting,85,75,15.0,16.0,0.25609337452797803,0.2744115796098174,0.5281364704639677,0.5034612964128382,27.114890764403953,27.508688718929253,,,
26.51607007797135,-18.25714244410362,bursting,bursting,82,80,15.5,15.5,0.2580384226491406,0.28336283185840694,0.505561172901921,0.5056890012642224,27.53759795486402,27.463472139799865,,,
26.51607007797135,-18.063443290817037,bursting,bursting,80,81,15.0,15.5,0.26895278290688485,0.2625167404965488,0.5275652862041678,0.5150922015040693,27.70306725930348,27.46509081482798,,,
26.51607007797135,-17.01011737753121,bursting,bursting,82,80,15.0,15.0,0.26851292820580097,0.26617934995431414,0.5250032812705079,0.5221250489492233,27.678527451704024,27.70165229978548,,,
26.932654231414183,-22.914311639711332,bursting,bursting,75,82,16.0,16.0,0.27329940752759546,0.2718432260764668,0.4916783440273374,0.4923804131071666,27.412625195096066,27.447441662964522,,,
26.932654231414183,-21.731662231386487,bursting,bursting,75,82,16.0,16.0,0.2745059337297378,0.2756025602560254,0.4934494584392193,0.5000500050004999,27.379578515094106,27.402317103195095,,,
