delta_Vus,tau_us,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
1.5583544283790378,277.0701222107906,bursting,bursting,80,91,19.0,19.0,0.3003173883473136,0.29856285001012084,0.4534119247336205,0.4498122034050783,27.48398280918767,27.480108405769908,,,
1.5583544283790378,277.35236514704883,bursting,bursting,88,85,19.0,19.0,0.292185430463576,0.29382501226966523,0.44150110375275947,0.4461696336947306,27.579575708670017,27.584422793549308,,,
1.5583544283790378,277.58123881365174,bursting,bursting,88,85,19.0,19.0,0.29456065075534127,0.2933466400532271,0.4469473496022168,0.44355732978487467,27.589279577173087,27.548242012772576,,,
1.5583544283790378,283.68812673413186,bursting,bursting,87,84,18.5,18.5,0.3006423696301912,0.30538431791815496,0.446090020966231,0.4549487045335638,27.478234835077888,27.43502057286408,,,
1.5583544283790378,284.15742437309285,bursting,bursting,85,88,18.0,18.0,0.2898886936145284,0.2896112381574647,0.46865846514352666,0.46670089139870247,27.674454489312403,27.633479390616056,,,
1.5583544283790378,284.39123643116164,bursting,bursting,85,88,18.0,18.0,0.2900547317210086,0.2918547780285931,0.46779248725265477,0.4702784048156508,27.643591361086933,27.605467905616262,,,
1.5583544283790378,299.72470377120817,bursting,bursting,81,85,17.0,17.0,0.27417190479553644,0.2721336617558212,0.47084304447112557,0.4647488032718316,27.690429497081197,27.636319300240793,,,
1.5583544283790378,318.0425793037399,bursting,bursting,84,76,16.0,16.0,0.2619550013039666,0.2603061320311767,0.474169610469665,0.46952765517888995,27.524134496067134,27.50793053052084,,,
1.5583544283790378,326.21092135216526,bursting,bursting,75,83,16.0,16.0,0.2634792410294946,0.2596511627906978,0.4696599661844824,0.46511627906976755,27.274058556449713,27.33416067824327,,,
1.5936901249541873,222.4276428040119,bursting,bursting,93,111,26.0,26.0,0.35459465640126525,0.3592631092631092,0.3811411365628692,0.3850003850003848,27.263545102908655,27.157753539884634,,,
1.5936901249541873,229.84333871756644,bursting,bursting,92,102,24.0,24.0,0.3351433837372918,0.33867130490413616,0.39636140232664147,0.3998480577380595,27.505888397940765,27.455541433143622,,,
1.5936901249541873,239.4430625760652,bursting,bursting,101,92,22.0,22.0,0.32395224683677326,0.32229275344101543,0.4203623523477238,0.4189973393668949,27.583300086544927,27.59635132614645,,,
