Vs0,Vus0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B
-53.94736842105263,-48.578947368421055,bursting,bursting,106,105,10.6,8.076923076923077,0.7057273399988186,0.6061368239698208,1.1263067558541608,1.6843619804744296,14.577275327695839,15.020604339193861
-53.94736842105263,-48.05263157894737,bursting,bursting,110,107,9.166666666666666,9.727272727272727,0.6917583685816718,0.7330936650272372,1.416522345983394,1.2159854799146284,14.742686580796208,14.400581147062928
-53.94736842105263,-47.526315789473685,bursting,bursting,111,111,11.1,10.090909090909092,0.7471346107623321,0.6272339024440681,1.0932879320716729,1.8283679805124304,14.581083183446667,14.682742138409573
-53.94736842105263,-47.0,bursting,bursting,114,115,12.666666666666666,10.454545454545455,0.7730996430381327,0.6752058976706596,1.1418522741636274,1.7092853847865044,14.473661985957055,14.763724603229598
-53.421052631578945,-57.0,bursting,bursting,72,72,5.142857142857143,5.142857142857143,0.45456514543363996,0.4638634380756636,1.6266633953700056,1.6465100862974127,13.094234305180668,13.03915174722338
-53.421052631578945,-56.473684210526315,bursting,bursting,75,75,5.357142857142857,4.6875,0.46318565728901984,0.4390115727473508,1.6263599827732838,1.752427898294896,13.397602960606825,13.827909659800913
-53.421052631578945,-55.94736842105263,bursting,bursting,80,78,6.666666666666667,5.2,0.5023442901775071,0.4539263513252224,1.4127419361202411,1.7159424554505573,13.558373775827416,13.745298143600875
-53.421052631578945,-55.421052631578945,bursting,bursting,81,82,5.785714285714286,5.857142857142857,0.49884895915804467,0.49620784126514683,1.5940303181986393,1.6187413745475583,14.20132110241943,14.104678398266897
-53.421052631578945,-54.89473684210526,bursting,bursting,84,85,5.6,6.071428571428571,0.4782175207100957,0.5226084082872423,1.8807743422952086,1.659900610970873,14.115775349027183,13.872677135683137
-53.421052631578945,-54.36842105263158,bursting,bursting,87,88,6.6923076923076925,7.333333333333333,0.586444985320831,0.6198517706850658,1.5342784386460446,1.4694217651448533,13.5577745831168,13.279424330220689
-53.421052631578945,-53.8421052631579,bursting,bursting,90,90,8.181818181818182,9.0,0.6735466482754788,0.7149375791709874,1.3362197987800206,1.180936097609173,13.120511945620825,13.035654733581845
-53.421052631578945,-53.31578947368421,tonic_spiking,tonic_spiking,96,96,96.0,96.0,,,,,11.01591287062962,11.01591287062962
-53.421052631578945,-52.78947368421053,bursting,bursting,96,96,16.0,13.714285714285714,0.8038180506424503,0.7282228128105995,0.926234963622164,1.2933017420848698,12.52408281320615,12.778367034314831
-53.421052631578945,-52.26315789473684,bursting,bursting,100,99,11.11111111111111,16.5,0.7557085710596906,0.8504134805509442,1.1956560658111288,0.7381755106555933,13.184252788369578,12.789741113807422
-53.421052631578945,-51.73684210526316,bursting,bursting,103,103,34.333333333333336,25.75,0.9524432823101529,0.8996667281734183,0.23162517488298953,0.49335707865635037,12.4541206320209,12.595363667365623
-53.421052631578945,-51.21052631578947,tonic_spiking,tonic_spiking,108,108,108.0,108.0,,,,,12.30908898979007,12.30908898979007
-53.421052631578945,-50.68421052631579,bursting,bursting,110,108,55.0,54.0,0.9310090253040735,0.8696752889378097,0.36913309093593694,0.733810310034856,12.546187355094427,12.37211668658414
-53.421052631578945,-50.1578947368421,tonic_spiking,tonic_spiking,115,115,115.0,115.0,,,,,12.637292523009506,12.637292523009506
-53.421052631578945,-49.631578947368425,bursting,bursting,116,116,38.666666666666664,58.0,0.9145250125658051,0.9565217391304348,0.5072617126531044,0.23862931322483655,13.152593840726484,13.123627843398292
-53.421052631578945,-49.10526315789474,tonic_spiking,tonic_spiking,119,118,119.0,118.0,,,,,13.052949700934342,13.003970806677481
-53.421052631578945,-48.578947368421055,tonic_spiking,tonic_spiking,121,121,121.0,121.0,,,,,13.320031774580212,13.209803628193297
-53.421052631578945,-48.05263157894737,tonic_spiking,tonic_spiking,124,125,124.0,125.0,,,,,13.502818729263618,13.553689877594977
-53.421052631578945,-47.526315789473685,tonic_spiking,tonic_spiking,127,126,127.0,126.0,,,,,13.718697161106778,13.6734418677827
-53.421052631578945,-47.0,tonic_spiking,tonic_spiking,129,130,129.0,130.0,,,,,13.994163620217432,14.015033474884596
-52.89473684210526,-57.0,tonic_spiking,tonic_spiking,82,82,82.0,82.0,,,,,9.750586189036984,9.782920163109736
-52.89473684210526,-56.473684210526315,tonic_spiking,tonic_spiking,85,84,85.0,84.0,,,,,10.064753599904654,10.02637241370441
-52.89473684210526,-55.94736842105263,tonic_spiking,tonic_spiking,90,90,90.0,90.0,,,,,10.119022165345726,10.119022165345726
-52.89473684210526,-55.421052631578945,tonic_spiking,tonic_spiking,90,91,90.0,91.0,,,,,10.478261554241362,10.421845511990885
-52.89473684210526,-54.89473684210526,tonic_spiking,tonic_spiking,94,94,94.0,94.0,,,,,10.856585072788075,10.87230499629003
-52.89473684210526,-54.36842105263158,tonic_spiking,tonic_spiking,99,99,99.0,99.0,,,,,11.089136064176799,11.089136064176799
-52.89473684210526,-53.8421052631579,tonic_spiking,tonic_spiking,102,102,102.0,102.0,,,,,11.341595190869805,11.341595190869805
-52.89473684210526,-53.31578947368421,tonic_spiking,tonic_spiking,105,105,105.0,105.0,,,,,11.700102113919078,11.700102113919078
-52.89473684210526,-52.78947368421053,tonic_spiking,tonic_spiking,108,108,108.0,108.0,,,,,11.931455277984835,11.931455277984835
-52.89473684210526,-52.26315789473684,tonic_spiking,tonic_spiking,111,111,111.0,111.0,,,,,12.225240949363348,12.225240949363348
-52.89473684210526,-51.73684210526316,tonic_spiking,tonic_spiking,111,111,111.0,111.0,,,,,12.224163940328179,12.31594058692619
-52.89473684210526,-51.21052631578947,tonic_spiking,tonic_spiking,118,118,118.0,118.0,,,,,12.866098690370507,12.866098690370507
-52.89473684210526,-50.68421052631579,tonic_spiking,tonic_spiking,120,120,120.0,120.0,,,,,13.133596567692093,13.133596567692093
-52.89473684210526,-50.1578947368421,tonic_spiking,tonic_spiking,123,123,123.0,123.0,,,,,13.40425874193204,13.40425874193204
-52.89473684210526,-49.631578947368425,tonic_spiking,tonic_spiking,126,126,126.0,126.0,,,,,13.67496787002575,13.67496787002575
-52.89473684210526,-49.10526315789474,tonic_spiking,tonic_spiking,125,126,125.0,126.0,,,,,13.690867996455225,13.727622557083423
-52.89473684210526,-48.578947368421055,tonic_spiking,tonic_spiking,131,131,131.0,131.0,,,,,14.215814357954311,14.215814357954311
-52.89473684210526,-48.05263157894737,tonic_spiking,tonic_spiking,131,131,131.0,131.0,,,,,14.28494705404596,14.215755421910815
-52.89473684210526,-47.526315789473685,tonic_spiking,tonic_spiking,134,133,134.0,133.0,,,,,14.607055176358108,14.427385347643646
-52.89473684210526,-47.0,tonic_spiking,tonic_spiking,137,137,137.0,137.0,,,,,14.807753216972026,14.897405829944137
-52.36842105263158,-57.0,tonic_spiking,tonic_spiking,85,84,85.0,84.0,,,,,10.009385966544402,9.959149134105871
-52.36842105263158,-56.473684210526315,tonic_spiking,tonic_spiking,88,88,88.0,88.0,,,,,10.284873527913852,10.249031694389773
-52.36842105263158,-55.94736842105263,tonic_spiking,tonic_spiking,91,91,91.0,91.0,,,,,10.748469874574319,10.72168476877851
-52.36842105263158,-55.421052631578945,tonic_spiking,tonic_spiking,96,96,96.0,96.0,,,,,10.83757345072422,10.83757345072422
-52.36842105263158,-54.89473684210526,tonic_spiking,tonic_spiking,97,97,97.0,97.0,,,,,11.116834912057634,11.28151390360496
-52.36842105263158,-54.36842105263158,tonic_spiking,tonic_spiking,100,100,100.0,100.0,,,,,11.430664199562576,11.415536797171516
-52.36842105263158,-53.8421052631579,tonic_spiking,tonic_spiking,102,103,102.0,103.0,,,,,11.781592360979216,11.656271735985039
-52.36842105263158,-53.31578947368421,tonic_spiking,tonic_spiking,106,106,106.0,106.0,,,,,12.022885274170557,12.07795344033283
-52.36842105263158,-52.78947368421053,tonic_spiking,tonic_spiking,111,111,111.0,111.0,,,,,12.375840246316079,12.375840246316079
-52.36842105263158,-52.26315789473684,tonic_spiking,tonic_spiking,114,114,114.0,114.0,,,,,12.587556000706785,12.587556000706785
-52.36842105263158,-51.73684210526316,tonic_spiking,tonic_spiking,117,117,117.0,117.0,,,,,12.934605167889346,12.934605167889346
-52.36842105263158,-51.21052631578947,tonic_spiking,tonic_spiking,118,117,118.0,117.0,,,,,13.039091305103371,12.974295452473054
-52.36842105263158,-50.68421052631579,tonic_spiking,tonic_spiking,120,121,120.0,121.0,,,,,13.288451535818977,13.35115889966698
-52.36842105263158,-50.1578947368421,tonic_spiking,tonic_spiking,126,126,126.0,126.0,,,,,13.779537808886058,13.779537808886058
-52.36842105263158,-49.631578947368425,tonic_spiking,tonic_spiking,126,126,126.0,126.0,,,,,13.894468906093126,13.883377948180806
-52.36842105263158,-49.10526315789474,tonic_spiking,tonic_spiking,128,129,128.0,129.0,,,,,14.069008025577109,14.155605921524192
-52.36842105263158,-48.578947368421055,tonic_spiking,tonic_spiking,134,134,134.0,134.0,,,,,14.5568872946243,14.5568872946243
-52.36842105263158,-48.05263157894737,tonic_spiking,tonic_spiking,136,135,136.0,135.0,,,,,14.769896056299604,14.737127324521527
-52.36842105263158,-47.526315789473685,tonic_spiking,tonic_spiking,140,140,140.0,140.0,,,,,15.148393204420836,15.148393204420836
-52.36842105263158,-47.0,tonic_spiking,tonic_spiking,139,139,139.0,139.0,,,,,15.16459452320504,15.120896291310947
-51.8421052631579,-57.0,bursting,bursting,85,85,8.5,17.0,0.7212118823700586,0.8653215044961476,1.1327314810076443,0.5254451676943065,12.478187925226942,11.775606935807861
-51.8421052631579,-56.473684210526315,tonic_spiking,tonic_spiking,89,89,89.0,89.0,,,,,10.191968473423241,10.191968473423241
-51.8421052631579,-55.94736842105263,tonic_spiking,tonic_spiking,93,93,93.0,93.0,,,,,10.62179044411772,10.62179044411772
-51.8421052631579,-55.421052631578945,bursting,bursting,94,94,10.444444444444445,15.666666666666666,0.6371136154345037,0.6898804925070713,1.6435314604222095,1.2985083890890892,13.024736250246601,12.691374613049566
-51.8421052631579,-54.89473684210526,bursting,bursting,97,97,13.857142857142858,12.125,0.7892918838261967,0.7708278243104819,0.9550885117321335,1.0440857966934196,12.988514519655071,13.09857520000491
-51.8421052631579,-54.36842105263158,bursting,bursting,99,100,16.5,14.285714285714286,0.8202368613137405,0.7802786091119752,0.9134070682908112,1.067639093989017,13.12650453130865,13.097388620513435
-51.8421052631579,-53.8421052631579,bursting,bursting,103,103,25.75,20.6,0.9118631469596624,0.9039892240363026,0.4431947171953712,0.4584524089007082,12.723519074496087,12.976891564791865
-51.8421052631579,-53.31578947368421,tonic_spiking,tonic_spiking,108,108,108.0,108.0,,,,,12.142482352595996,12.142482352595996
-51.8421052631579,-52.78947368421053,tonic_spiking,tonic_spiking,110,110,110.0,110.0,,,,,12.3965856710369,12.3965856710369
-51.8421052631579,-52.26315789473684,bursting,bursting,111,112,37.0,37.333333333333336,0.9480535100626977,0.9416372613761234,0.287226483895385,0.33415798265487845,13.300127856167437,13.280079055364146
-51.8421052631579,-51.73684210526316,tonic_spiking,tonic_spiking,116,116,116.0,116.0,,,,,12.933174838717067,12.933174838717067
-51.8421052631579,-51.21052631578947,bursting,bursting,118,117,23.6,29.25,0.8720961315970202,0.9026678242564338,0.7225078791863061,0.5888370109610048,14.264612108148519,14.115275234921011
-51.8421052631579,-50.68421052631579,bursting,bursting,121,122,60.5,61.0,0.9531086224968279,0.9201484072218546,0.27583163237160035,0.4726344645051517,13.786079980665228,13.973720617606832
-51.8421052631579,-50.1578947368421,tonic_spiking,tonic_spiking,126,126,126.0,126.0,,,,,13.839342134073636,13.839342134073636
-51.8421052631579,-49.631578947368425,tonic_spiking,tonic_spiking,127,126,127.0,126.0,,,,,14.335953850043861,14.282276924039518
-51.8421052631579,-49.10526315789474,tonic_spiking,tonic_spiking,131,131,131.0,131.0,,,,,14.420007991492751,14.420007991492751
-51.8421052631579,-48.578947368421055,tonic_spiking,tonic_spiking,133,133,133.0,133.0,,,,,14.891216227283717,14.943868601059181
-51.8421052631579,-48.05263157894737,tonic_spiking,tonic_spiking,138,138,138.0,138.0,,,,,15.058148300660106,15.058148300660106
-51.8421052631579,-47.526315789473685,tonic_spiking,tonic_spiking,141,141,141.0,141.0,,,,,15.331458021238294,15.331458021238294
-51.8421052631579,-47.0,tonic_spiking,tonic_spiking,141,142,141.0,142.0,,,,,15.480562983708124,15.55370348140773
-51.31578947368421,-57.0,bursting,bursting,81,83,5.0625,5.533333333333333,0.37007564642663265,0.3696533772781473,1.591072520231381,1.5656158972395031,19.169370120887397,19.02788132463545
-51.31578947368421,-56.473684210526315,bursting,bursting,83,86,5.533333333333333,5.733333333333333,0.38238413445564784,0.3805696751300235,1.6056507485165987,1.5870026289981678,19.110239696934062,19.0424502219271
-51.31578947368421,-55.94736842105263,bursting,bursting,87,90,6.6923076923076925,6.428571428571429,0.4363412063948077,0.4451793350638367,1.3998315673570978,1.4311531439357237,18.500381795058274,18.348298112920244
-51.31578947368421,-55.421052631578945,bursting,bursting,91,91,6.5,6.5,0.4129841768577649,0.4242452429049225,1.4421330383694733,1.4255794377693507,19.561934510099736,19.153946738023535
-51.31578947368421,-54.89473684210526,bursting,bursting,95,94,7.3076923076923075,7.230769230769231,0.4610411803090266,0.45028530989363946,1.347600204706722,1.3709071816526333,18.710316101844185,18.961126617959476
-51.31578947368421,-54.36842105263158,bursting,bursting,97,97,7.461538461538462,7.461538461538462,0.45236044826542027,0.4490404842211588,1.3154273756756107,1.3452108097375424,19.42760415658466,19.59426140196236
-51.31578947368421,-53.8421052631579,bursting,bursting,98,102,7.538461538461538,7.846153846153846,0.44868625892711905,0.45385173593070904,1.3768893529938557,1.354133627257136,20.07001728219895,19.710247040642418
