g_us,tau_us,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
0.01296694563979591,239.4430625760652,bursting,bursting,100,91,22.0,22.0,0.3224350575071234,0.32727846769101243,0.415964726191219,0.4209640075773522,27.451157994030602,27.361843866361603,,,
0.01296694563979591,239.75321609472297,bursting,bursting,98,91,22.0,22.0,0.32847676493076194,0.3272906984080252,0.4247727465805793,0.4206010388845662,27.418246240094145,27.342660975788288,,,
0.01296694563979591,242.905360868945,bursting,bursting,97,87,21.0,21.0,0.3167156693185748,0.31624042021872023,0.4323763403666551,0.4305519676224919,27.601827129367173,27.548232259922894,,,
0.01296694563979591,248.52611952212527,bursting,bursting,96,86,21.0,21.0,0.32229618742975696,0.32001278091383534,0.4322641998789661,0.4260304611779743,27.276191520655885,27.219540909597537,,,
0.01296694563979591,251.5392757474052,bursting,bursting,93,84,20.0,20.0,0.3054011119936458,0.30582853640920116,0.4412673197423,0.43774212611350644,27.68289776836833,27.546783996125544,,,
0.01296694563979591,265.75975919329136,bursting,bursting,88,85,19.0,19.0,0.2971694941843527,0.30319173258951027,0.4482194482418591,0.4572682792994649,27.475228511157226,27.36036824351552,,,
0.01296694563979591,267.0527705729015,bursting,bursting,86,87,19.0,18.5,0.30200335758254054,0.2838141540155026,0.44767767207610526,0.45865247901664913,27.289295956402256,27.505702329606763,,,
0.01296694563979591,272.0888587176768,bursting,bursting,84,88,18.0,18.0,0.2860361395926248,0.29168828718335754,0.4597912547703343,0.47172036416812124,27.6298241835133,27.618745607148483,,,
0.01296694563979591,276.7664232955933,bursting,bursting,84,88,18.0,18.0,0.2937961768500061,0.29172361075722114,0.4690981587897267,0.4632739570545042,27.385957583084394,27.353782681942448,,,
0.01296694563979591,277.0701222107906,bursting,bursting,85,85,18.0,18.0,0.2851440235881154,0.28382373004684136,0.453617600362894,0.4547728409659375,27.466073616876102,27.520154623951704,,,
0.01296694563979591,277.35236514704883,bursting,bursting,85,85,18.0,18.0,0.2910664161273111,0.2942616891517282,0.4639617695501892,0.46202180742931054,27.39859302461684,27.231920597740015,,,
0.01296694563979591,277.58123881365174,bursting,bursting,84,86,18.0,18.0,0.2851427408964534,0.2881058894064473,0.4520693474378969,0.46119079463173906,27.42351166852248,27.43571397422791,,,
0.01296694563979591,283.68812673413186,bursting,bursting,81,88,17.0,17.0,0.2765942354526755,0.2755485598834751,0.47289149504646155,0.46985857256965646,27.645390249402965,27.611525195556933,,,
0.01296694563979591,284.15742437309285,bursting,bursting,80,88,17.0,17.0,0.2743725416744707,0.2788948323622126,0.46825248173815337,0.47760053491259913,27.648277078718035,27.6080096437504,,,
0.01296694563979591,284.39123643116164,bursting,bursting,80,88,17.0,17.0,0.27596355331622446,0.2720519746646793,0.47088738728133156,0.4657228017883756,27.62491351300536,27.676910115971914,,,
0.01296694563979591,299.72470377120817,bursting,bursting,75,83,16.0,16.0,0.262971895221949,0.26055919095776336,0.47756632202297106,0.47590719809637116,27.596128927979617,27.665090567312003,,,
