Vs0,Vus0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B
-56.51089753431159,-49.75973078435901,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-49.23199223512259,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-48.79690700260742,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-48.616917503311555,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-46.129344077851364,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-45.64278503889504,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-40.8634324754736,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-55.19992053120248,-56.36881368020514,bursting,bursting,3381,3381,7.0,7.0,0.0,0.0,92.1658986175113,92.1658986175113,327.7862128528009,327.7862128528009
-55.19992053120248,-56.287302321594446,bursting,bursting,3381,3381,7.0,7.0,0.0,0.0,92.1658986175113,92.1658986175113,327.7862128528009,327.7862128528009
-55.19992053120248,-56.231618186888966,bursting,bursting,3381,3381,7.0,7.0,0.0,0.0,92.1658986175113,92.1658986175113,327.7862128528009,327.7862128528009
-55.19992053120248,-55.540833630900494,bursting,bursting,3381,3381,7.0,7.0,0.0,0.0,92.1658986175113,92.1658986175113,327.7862128528009,327.7862128528009
-55.19992053120248,-54.663662191171994,bursting,bursting,3377,3377,7.0,7.0,0.0,0.0,92.1658986175113,92.1658986175113,336.1045827273654,336.1045827273654
-55.19992053120248,-54.227304675248156,bursting,bursting,3377,3377,7.0,7.0,0.0,0.0,92.1658986175113,92.1658986175113,336.1045827273654,336.1045827273654
-55.19992053120248,-54.1133580852,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-55.19992053120248,-53.83109446253879,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-55.19992053120248,-52.96128429043536,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-55.19992053120248,-52.80355330675777,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-55.19992053120248,-52.592526779805354,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-55.19992053120248,-50.09969086530679,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-55.19992053120248,-49.85379041970086,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
