Vi_threshold,Vi0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
-21.731662231386487,-88.53522241405496,bursting,bursting,75,82,16.0,16.0,0.2741068997103458,0.27123166940044563,0.4951352957195554,0.4896320415207969,27.437212059203645,27.425531590457528,,,
-21.731662231386487,-85.52555330351612,bursting,bursting,75,82,16.0,16.0,0.27228744044402975,0.27152057420972403,0.49118326047448285,0.4916179145568063,27.434453030831044,27.447820492248365,,,
-21.731662231386487,-84.7239990177665,bursting,bursting,75,82,16.0,16.0,0.27146767020184764,0.2748310515947234,0.4887346659498558,0.4987406797835466,27.43114774557504,27.403138452054783,,,
-21.731662231386487,-84.36968645429397,bursting,bursting,75,82,16.0,16.0,0.2774843018040468,0.27369691595231027,0.498355427090601,0.49265937530791215,27.323651566447992,27.370569553218925,,,
-21.731662231386487,-83.78563181339008,bursting,bursting,79,81,16.0,15.5,0.2801514467679656,0.2824845912902899,0.5014793641241664,0.5052035970496109,27.269916883264315,27.485179956033704,,,
-21.731662231386487,-83.5989607818643,bursting,bursting,79,81,16.0,16.0,0.2768316831683169,0.2791833446617828,0.49504950495049505,0.5034866450167409,27.312495304622992,27.254312164568987,,,
-21.731662231386487,-82.85987488320067,bursting,bursting,76,82,16.0,16.0,0.27835718730553816,0.2809062634333832,0.49782202862476665,0.5057273623789414,27.27808405770371,27.19205714501403,,,
-21.731662231386487,-82.27821706868562,bursting,bursting,83,80,15.0,15.0,0.2691584826746435,0.267562902128995,0.5294226645842708,0.5230946278181722,27.743039184748824,27.655552759180786,,,
-21.331019414577387,-105.14582794454225,bursting,bursting,75,81,16.5,16.5,0.2511726783279802,0.24767038187465745,0.46213924255378147,0.4567878677142334,27.569126486125576,27.62140452475166,,,
-21.331019414577387,-101.4811769100413,bursting,bursting,74,83,16.0,16.0,0.2554463804141363,0.25517419597340657,0.46901015406983554,0.4698475344750628,27.818261132854627,27.823045479489032,,,
-21.331019414577387,-100.19958492603132,bursting,bursting,74,83,16.0,16.0,0.25887205746390735,0.25499450896090814,0.47412464736979343,0.4673224758744772,27.7574011771734,27.78174198591567,[-52.       -52.       -52.       ... -56.080784 -56.08055  -56.08032 ],[-52.       -52.       -52.       ... -53.684166 -53.68645  -53.688736],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
-21.331019414577387,-98.2750705740145,bursting,bursting,74,82,16.0,16.0,0.25907973139127943,0.25914024564410154,0.47290267662914964,0.4760544606302961,27.709597476865117,27.759319004167857,,,
-21.331019414577387,-94.1611661339811,bursting,bursting,74,82,16.0,16.0,0.26663108350720544,0.265474354030081,0.4852249017419575,0.4820671037408408,27.599367101158908,27.56993248963172,,,
-21.331019414577387,-93.84527381702881,bursting,bursting,75,82,16.0,16.0,0.261409507527188,0.262483163363479,0.47490145794747596,0.4810467577448527,27.636685733148834,27.682674933542046,,,
-21.331019414577387,-93.13852565023593,bursting,bursting,75,82,16.0,16.0,0.26444989421042503,0.262590272131618,0.4808617041738796,0.47826294896934324,27.612486211221622,27.629652806142406,,,
-21.331019414577387,-93.01396526987197,bursting,bursting,75,83,16.0,16.0,0.26169839859787275,0.26557472237679325,0.48018054788600506,0.48387486995862866,27.733192795110217,27.59739116767945,,,
-21.331019414577387,-92.78411885748214,bursting,bursting,74,83,16.0,16.0,0.26471652157137,0.2651418071036531,0.4823112354402297,0.48357068594501806,27.625552923924538,27.616299411134086,,,
-21.331019414577387,-91.72173892393454,bursting,bursting,75,82,16.0,16.0,0.27145389197971515,0.27149687385068005,0.4923440500221556,0.490376363859262,27.51515625611741,27.4235462213071,,,
-21.331019414577387,-88.71816837536491,bursting,bursting,75,82,16.0,16.0,0.27252169210726834,0.2689374558389985,0.4916058304451491,0.4872938138050337,27.434453030831023,27.500444861281288,,,
-21.331019414577387,-88.57314278030957,bursting,bursting,75,82,16.0,16.0,0.2700883056056983,0.2716204559457795,0.4878762745767673,0.4929143561306224,27.48553014298133,27.465332302190742,,,
-21.331019414577387,-88.53522241405496,bursting,bursting,75,82,16.0,16.0,0.27255717767547205,0.26904395792145647,0.4923804131071665,0.48815015498767406,27.44925313686407,27.5081933521811,,,
-21.331019414577387,-85.52555330351612,bursting,bursting,75,82,16.0,16.0,0.2738062857001556,0.2730387203312549,0.4945476125714002,0.49293865378453633,27.4235462213071,27.404882216810673,,,
-21.331019414577387,-84.7239990177665,bursting,bursting,78,81,16.0,16.0,0.27640455031986677,0.2754115430384766,0.49784681253578256,0.4958349861166204,27.355754790142157,27.345132728389792,,,
