g_us,delta_Vus,tau_us,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B
0.005,1.9777777777777779,250.0,tonic_spiking,tonic_spiking,22,188,22.0,188.0,,,,,26.00778760808651,20.47442189197336
0.005,1.9777777777777779,266.6666666666667,tonic_spiking,tonic_spiking,20,176,20.0,176.0,,,,,25.783877724918558,19.358887096477115
0.005,1.9777777777777779,283.33333333333337,bursting,bursting,105,95,26.25,19.0,0.38663754754943597,0.36026247638083275,0.42353638584898506,0.4806476511939424,26.401473143304752,26.812314065962255
0.005,1.9777777777777779,300.0,bursting,bursting,96,99,24.0,24.75,0.3354516413886708,0.35388651418025474,0.4279845462984895,0.3395727739450806,27.100873996397418,26.97034661791753
0.005,1.9777777777777779,316.6666666666667,bursting,bursting,98,91,19.6,22.75,0.32922301415757754,0.35266728041608947,0.5027980347451866,0.44346333699845336,27.059987209795175,26.32930825724545
0.005,1.9777777777777779,333.33333333333337,bursting,bursting,97,86,24.25,21.5,0.3240342699465319,0.3272062797092609,0.3611890371392337,0.4401194847910362,26.755286680275695,27.149646323083317
0.005,1.9777777777777779,350.0,bursting,bursting,93,81,23.25,20.25,0.3193318953870423,0.310167667667117,0.36845314636120124,0.45568643047139257,26.617654103316422,27.16620698715392
0.005,2.088888888888889,200.0,tonic_spiking,tonic_spiking,218,27,218.0,27.0,,,,,23.53844512246028,25.525684988023706
0.005,2.088888888888889,216.66666666666666,tonic_spiking,tonic_spiking,205,26,205.0,26.0,,,,,22.1218356502129,25.041861237330323
0.005,2.088888888888889,233.33333333333334,tonic_spiking,tonic_spiking,24,191,24.0,191.0,,,,,25.59756326068867,20.672500242197014
0.005,2.088888888888889,250.0,tonic_spiking,tonic_spiking,178,19,178.0,19.0,,,,,19.429069288621324,25.992209840564175
0.005,2.088888888888889,266.6666666666667,bursting,bursting,95,102,23.75,25.5,0.3669707832465339,0.3514957412065119,0.32904188063492307,0.4117303889569552,26.477254132901805,26.94306004209497
0.005,2.088888888888889,283.33333333333337,bursting,bursting,102,93,25.5,23.25,0.351662885081719,0.33639869051962284,0.34860637200622185,0.4362686216050944,26.85884850478556,26.999937778380296
0.005,2.088888888888889,300.0,bursting,bursting,99,86,24.75,21.5,0.3363444352561324,0.3258138300636924,0.36636354123137327,0.4519390046501077,26.604801629226177,27.130980037278405
0.005,2.088888888888889,316.6666666666667,bursting,bursting,82,92,16.4,23.0,0.3119251463371583,0.31733589977151944,0.44578143385387065,0.37647557981811114,27.244628767127153,26.865615813389493
0.005,2.088888888888889,333.33333333333337,bursting,bursting,83,87,16.6,21.75,0.3042684300861719,0.3055680538822761,0.4521983001589459,0.3852250360721567,27.317245760695812,26.788235773280576
0.005,2.088888888888889,350.0,bursting,bursting,76,86,15.2,14.333333333333334,0.2944238680733645,0.28288591512070926,0.5921487653844444,0.6172820282361026,26.03795648089054,26.713018572042348
0.005,2.2,200.0,bursting,bursting,136,136,22.666666666666668,22.666666666666668,0.5510512418931384,0.5510512418931384,0.5977982649667215,0.5977982649667215,24.2570702696022,24.2570702696022
0.005,2.2,216.66666666666666,tonic_spiking,tonic_spiking,20,195,20.0,195.0,,,,,26.698514837268487,21.113189398432954
0.005,2.2,233.33333333333334,tonic_spiking,tonic_spiking,20,180,20.0,180.0,,,,,26.331208908519855,19.66877209774018
0.005,2.2,250.0,bursting,bursting,99,99,24.75,24.75,0.3354329325814434,0.3767094394467545,0.41527634897488336,0.3338635223313104,27.0678049148629,26.400126092972627
0.005,2.2,266.6666666666667,bursting,bursting,90,104,22.5,26.0,0.3350485875785865,0.35155269212790613,0.44979116533854113,0.36083163161000414,27.107934335746084,26.51783050814132
0.005,2.2,283.33333333333337,bursting,bursting,89,89,12.714285714285714,12.714285714285714,0.33376822970490144,0.33376822970490144,0.727122711412866,0.727122711412866,25.800688603462305,25.800688603462305
0.005,2.2,300.0,bursting,bursting,86,88,17.2,17.6,0.29768085977727465,0.31380514811736093,0.5639207965947342,0.4733872294454391,27.193409978111426,27.14510558360168
0.005,2.2,316.6666666666667,bursting,bursting,84,87,21.0,17.4,0.30651233634951774,0.2942119381049454,0.39690838577262055,0.4707465960266023,26.747017275525273,27.538330579228465
0.005,2.2,333.33333333333337,bursting,bursting,88,80,17.6,20.0,0.2827402596969039,0.29713580460860256,0.48132730458185985,0.4048493130605735,27.24791024873168,26.71968792294015
0.005,2.2,350.0,bursting,bursting,81,77,16.2,15.4,0.27777617265031035,0.27212510685432845,0.4689997036649755,0.5555956424976403,27.073143088027894,27.091666234434904
0.007222222222222222,1.2,200.0,tonic_spiking,tonic_spiking,231,230,231.0,230.0,,,,,24.85167751869575,24.7748626049077
0.007222222222222222,1.2,216.66666666666666,tonic_spiking,tonic_spiking,222,224,222.0,224.0,,,,,23.94832113699332,24.172904000689638
0.007222222222222222,1.2,233.33333333333334,tonic_spiking,tonic_spiking,64,247,64.0,247.0,,,,,25.08267277501947,26.579395137627525
