Vs0,Vus0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
-54.29646231441619,-50.09969086530679,bursting,bursting,84,88,7.0,7.0,0.44499335989375816,0.5564726588578017,1.0624169986719787,1.2138131941494201,16.764493216172376,15.26872428196399,,,
-54.29646231441619,-49.85379041970086,bursting,bursting,83,92,5.5,6.0,0.3972988920212415,0.547477212373502,1.3112174654166389,1.4354410392593124,16.533629844741228,15.709868853745508,,,
-54.29646231441619,-49.75973078435901,bursting,bursting,83,92,7.0,7.0,0.4863107460643395,0.5855081967213114,1.3689253935660513,1.3114754098360653,16.489501006010773,15.48883544460211,,,
-54.29646231441619,-49.23199223512259,bursting,bursting,87,94,7.0,8.5,0.4183159849484436,0.5343860960568118,0.9773737966085131,0.9344047841524951,16.71272053591607,15.292502201449507,,,
-54.29646231441619,-48.79690700260742,tonic_spiking,tonic_spiking,89,97,7.0,6.5,0.4559814506195203,0.5257217129566291,1.4491703499746398,1.3681762210972772,15.31260988326399,15.871468825208524,,,
-54.29646231441619,-48.616917503311555,bursting,bursting,87,99,8.0,8.5,0.4533333333333333,0.5830775743464914,0.9227220299884662,1.058313048999894,16.462012361040717,16.29343526056881,,,
-54.29646231441619,-46.129344077851364,bursting,bursting,101,110,5.5,11.5,0.2859873829095781,0.5463507625272335,3.8233607340852584,1.0893246187363832,16.21090027806691,15.160232261840198,,,
-54.29646231441619,-45.64278503889504,tonic_spiking,tonic_spiking,105,115,9.0,8.5,0.5474082734814321,0.7159353348729791,1.1135237458938811,1.4434180138568127,15.634851541433886,15.346740993634207,,,
-54.29646231441619,-40.8634324754736,tonic_spiking,tonic_spiking,3,160,,,,,,,,,,,
-54.2652196378679,-56.36881368020514,tonic_spiking,tonic_spiking,51,52,3.0,6.5,0.25782319131466147,0.7637216377234123,1.824651035489463,0.5070351121815185,12.317445832453823,9.199303230472829,,,
-54.2652196378679,-56.287302321594446,tonic_spiking,tonic_spiking,50,52,4.5,5.0,0.5330675422138836,0.4052352882405836,0.9380863039399626,0.9991008092716553,10.53290839307868,12.335315105116596,,,
-54.2652196378679,-56.231618186888966,tonic_spiking,tonic_spiking,50,54,4.0,4.5,0.3483218450041873,0.4614462644826207,1.2884107453456157,1.1414873580275102,12.136767849400966,11.25596421073595,,,
-54.2652196378679,-55.540833630900494,tonic_spiking,tonic_spiking,54,58,3.5,4.0,0.2307882994546356,0.21847409628519118,1.6526194017517761,1.66583374979177,13.980670171882432,13.301410286731139,,,
-54.2652196378679,-54.663662191171994,tonic_spiking,tonic_spiking,61,63,3.5,4.0,0.21958837190678335,0.5070390206579957,1.6016657323616557,1.5302218821729157,14.917202443525431,11.811735542822861,,,
-54.2652196378679,-54.227304675248156,tonic_spiking,tonic_spiking,63,66,5.0,4.5,0.44088630968082304,0.3717041354426864,1.0551305724083355,1.387732445184569,14.296419754435679,15.052823785807371,[-52.139793 -52.27891  -52.41674  ... -52.051037 -52.05068  -52.05032 ],[-52.139793 -52.27891  -52.41674  ... -52.311882 -52.30755  -52.30322 ],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
-54.2652196378679,-54.1133580852,tonic_spiking,tonic_spiking,63,66,4.5,4.5,0.316481901963403,0.4442711753118842,1.3356484573260319,1.6414970453053186,13.75221745628138,12.454642967888978,,,
-54.2652196378679,-53.83109446253879,tonic_spiking,tonic_spiking,65,69,5.0,5.0,0.3578544526788969,0.4866646507408527,1.2149192078726763,1.2095554883580277,14.699431812933266,13.956535533163503,,,
-54.2652196378679,-52.96128429043536,tonic_spiking,tonic_spiking,71,71,6.0,6.0,0.4100855270465402,0.4815377140774932,1.1107408641563923,1.2146240738491434,14.899362329300335,13.858549751447779,,,
-54.2652196378679,-52.80355330675777,tonic_spiking,tonic_spiking,72,74,4.5,4.5,0.4745574343097564,0.4924009633751346,1.587679606255457,1.6609916119923602,14.269649424012679,12.509336235046986,,,
-54.2652196378679,-52.592526779805354,tonic_spiking,tonic_spiking,72,77,6.0,6.0,0.447326563073535,0.44352057156935215,1.2235409274440232,1.2318305001231826,14.04169987312514,14.156119893230192,,,
-54.2652196378679,-50.09969086530679,bursting,tonic_spiking,83,91,7.5,6.5,0.37584643796519096,0.3989670242352008,1.119256813475852,1.5891934843067135,15.624532911814159,15.65276804378417,,,
-54.2652196378679,-49.85379041970086,bursting,bursting,88,92,7.5,7.5,0.49306081251577094,0.5796957864677427,1.009336361342417,1.1655690891077566,16.1248466761538,15.935153110146626,,,
-54.2652196378679,-49.75973078435901,bursting,tonic_spiking,86,94,5.0,7.0,0.40191516622833645,0.5019733596447953,1.3487086115044846,1.23334977799704,16.787408951603027,15.363317901796329,,,
-54.2652196378679,-49.23199223512259,tonic_spiking,bursting,87,96,8.0,8.5,0.43012980681333407,0.45999785798436327,1.2188433176915106,1.071007818357074,16.495279566255046,16.2441371738709,,,
-54.2652196378679,-48.79690700260742,bursting,bursting,89,98,9.5,8.0,0.44091776176345937,0.42396205422498107,1.05977108944468,1.1711658956491187,15.572189328301212,16.616315342897376,,,
-54.2652196378679,-48.616917503311555,tonic_spiking,tonic_spiking,93,98,7.0,7.0,0.581530938499154,0.5117295946696281,1.8807598269700965,1.3881177123820096,15.065561132813572,16.065569564088797,,,
-54.2652196378679,-46.129344077851364,bursting,tonic_spiking,104,112,8.0,12.5,0.5338311688311687,0.7382550335570472,1.2987012987012987,1.177440244907571,15.812319908923067,14.754182501330991,,,
-54.2652196378679,-45.64278503889504,tonic_spiking,tonic_spiking,105,114,8.5,7.5,0.793211080764729,0.6876022244030091,0.9754194303550527,1.6355904481517825,14.955162812331972,16.540408651984478,,,
-54.2652196378679,-40.8634324754736,tonic_spiking,tonic_spiking,2,161,,,,,,,,,,,
-51.58121296171791,-56.36881368020514,tonic_spiking,tonic_spiking,86,91,5.5,3.5,0.3954165857448045,0.3728064114964765,1.942124684404739,2.763576067431256,15.044185064927028,14.797414910527612,,,
-51.58121296171791,-56.287302321594446,tonic_spiking,tonic_spiking,88,90,3.5,4.5,0.37489652317880817,0.5564821099583052,2.0695364238410594,1.939299912731504,17.140841133273902,14.429748366096035,,,
-51.58121296171791,-56.231618186888966,tonic_spiking,tonic_spiking,88,91,5.0,5.0,0.4239019407558733,0.4324177022018753,2.2698899103393484,2.180074122520165,14.254873841698753,14.143486167663314,,,
-51.58121296171791,-55.540833630900494,tonic_spiking,tonic_spiking,93,94,4.5,5.0,0.42664439876670135,0.4667564383100491,2.569373072970194,1.6832183134152503,15.893943596393205,15.69142126459866,,,
-51.58121296171791,-54.663662191171994,tonic_spiking,tonic_spiking,96,100,3.5,4.0,0.33534136546184773,0.4434021263289553,3.089280197713932,2.501563477173233,17.632637028778852,16.247970036116914,,,
-51.58121296171791,-54.227304675248156,tonic_spiking,tonic_spiking,100,102,4.0,4.5,0.4448716188383906,0.42437841115827785,2.746121103940684,2.4257125530624633,17.753672590536485,17.20601745857511,,,
-51.58121296171791,-54.1133580852,tonic_spiking,tonic_spiking,100,103,5.0,7.5,0.3715012722646311,0.583257257622786,2.3132084200786482,1.8258170531312767,17.23683773983157,14.236664954067946,[-52.020077 -52.04001  -52.05978  ... -50.823    -50.796944 -50.769947],[-52.020077 -52.04001  -52.05978  ... -53.074448 -53.074043 -53.07364 ],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
-51.58121296171791,-53.83109446253879,tonic_spiking,tonic_spiking,101,105,6.5,4.5,0.37468848195904264,0.45609954645889117,2.16708202405461,2.3258518432375843,14.873271363374595,16.467012958102863,,,
-51.58121296171791,-52.96128429043536,tonic_spiking,tonic_spiking,105,110,3.5,6.0,0.3731958762886603,0.7799323850226443,3.172085646312448,1.275754289723799,16.75262219867345,15.348913339794525,,,
