g_s,tau_s,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
0.4380684108120857,3.8804511538385014,bursting,bursting,92,88,12.0,12.0,0.2864457505498866,0.2774598082461448,0.7211625139725237,0.7291021107506106,28.559048665326575,29.01438727633159,,,
0.4380684108120857,3.9825988112977626,bursting,bursting,92,89,12.0,12.0,0.28490552430405297,0.2792059411596686,0.7211885186787826,0.714081690945444,28.282721174797324,28.442663437737416,,,
0.4380684108120857,4.017990874528758,bursting,bursting,90,89,12.0,12.0,0.2843376959585791,0.2879979325875881,0.7191140514885663,0.7383615756636024,28.188495216641595,28.244820548838607,,,
0.4380684108120857,4.063196699330868,bursting,bursting,90,89,11.5,12.5,0.27459699833240675,0.3012716683323569,0.7411524921252547,0.6892511286487232,27.647202682659504,27.927171119796174,,,
0.4380684108120857,4.095442762782422,bursting,bursting,87,93,12.5,12.5,0.31874120956399415,0.2818946845151442,0.7032348804500702,0.7101516173703085,27.40669525201704,27.569952468088395,,,
0.4380684108120857,4.158352993012739,bursting,bursting,89,94,13.0,13.0,0.30580456048263394,0.3016673906505833,0.6816864923821534,0.6682928459250841,27.091959212860854,27.07011705518985,,,
0.4380684108120857,4.229732875369103,bursting,bursting,90,93,13.0,13.0,0.31328700199545867,0.3080683772210794,0.6880891763572556,0.6743315688323948,26.704638864805485,26.695109350853954,,,
0.4380684108120857,4.316233184174,bursting,bursting,91,89,13.5,13.0,0.2977324040443704,0.30087588828292855,0.6544288472235856,0.6610477607007106,26.313810910347343,26.618002783469517,,,
0.4380684108120857,4.359310269546686,bursting,bursting,92,88,13.5,13.0,0.3405489624080091,0.3035100475938655,0.6629980773055757,0.6610259122157589,25.99488869458356,26.412547055762047,,,
0.4380684108120857,4.588149802396627,bursting,bursting,93,90,14.0,14.0,0.32269514587290227,0.3339669448113668,0.6227231684154808,0.6443506556267918,25.288936966510434,25.134870943831313,,,
0.4380684108120857,4.6747325124188706,bursting,bursting,89,92,15.0,14.5,0.34290061148658557,0.3504291522361091,0.5851546271102139,0.6023189278723082,24.465247948814117,24.617520273448008,,,
0.4380684108120857,4.709933922396952,bursting,bursting,87,94,14.5,14.5,0.35438896872229203,0.36278311176760186,0.611489895129483,0.6154603643525358,24.567630626472393,24.350096642157396,,,
0.4380684108120857,4.82922406657648,bursting,bursting,88,95,15.0,15.0,0.3503710054098797,0.34665917026691123,0.5912436810831585,0.5918210333195241,23.959737986222244,24.078966962092885,,,
0.4380684108120857,4.831263854274557,bursting,bursting,88,95,15.0,15.0,0.35191844740987305,0.34184043386212726,0.5944066335780307,0.5800295815086569,23.967934041212224,24.044763623003707,,,
0.4380684108120857,4.83537928093241,bursting,bursting,88,95,15.0,15.0,0.34573797872652123,0.3464872060346104,0.5860462390482609,0.5916284573287975,24.028390118305033,24.06971264668807,,,
0.4380684108120857,4.954625174264129,bursting,bursting,93,90,16.0,16.0,0.36586186590392855,0.3695028680688336,0.5608367684585402,0.5623664379709818,23.31649915445808,23.154594854429813,,,
0.4380684108120857,5.019665555064,bursting,bursting,93,89,16.0,16.0,0.3604513554424109,0.36467523737501045,0.5504334663547543,0.5601770159370362,23.22262984879525,23.207416315456317,,,
