tau_i,Vi_threshold,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
44.17062526144672,-21.331019414577387,bursting,bursting,76,83,16.0,16.0,0.2773042021848363,0.27833170902366516,0.49996250281228893,0.49978759027413333,27.394022601320103,27.307898944247963,,,
44.17062526144672,-21.277755696486683,bursting,bursting,75,83,16.0,16.0,0.2756298762609947,0.27527116041800787,0.49694379565671126,0.4952701698776683,27.42569079464829,27.37236962480046,,,
44.17062526144672,-20.94074530858559,bursting,bursting,76,83,16.0,16.0,0.27834586466165423,0.2751052761951945,0.5012531328320801,0.4954173891503593,27.380653010820666,27.383552959073185,,,
44.17062526144672,-20.639342432714603,bursting,bursting,76,82,16.0,16.0,0.27518524943619727,0.27260172626387164,0.49565066541101843,0.49321824907521583,27.42151861204468,27.463346179944168,,,
44.17062526144672,-20.55028450245337,bursting,bursting,76,83,16.0,16.0,0.2751045248756835,0.2738194888965482,0.4947923109274882,0.49239253532916444,27.40780240324248,27.39881030191583,,,
44.17062526144672,-19.864841861022217,bursting,bursting,78,82,16.0,16.0,0.2773711687857516,0.2798545160638515,0.4995878400319736,0.5051525560719339,27.382545389479567,27.30707545426617,,,
44.17062526144672,-19.766628381718544,bursting,bursting,76,83,16.0,16.0,0.2740440756292081,0.27676526242406113,0.49690675544734025,0.49795837068021104,27.485284728584073,27.355171129624413,,,
44.17062526144672,-19.562622806541974,bursting,bursting,79,82,16.0,16.0,0.27997621230517655,0.2729582398066156,0.49557697549371854,0.4933277422855874,27.25044778547142,27.45041012971505,,,
44.17062526144672,-19.552808902450636,bursting,bursting,79,79,15.5,15.5,0.2896364342088237,0.26369978474545497,0.51753137533963,0.5186856505614772,27.46288370500956,27.50076881335827,,,
44.17062526144672,-19.53567735386656,bursting,bursting,79,81,16.0,15.5,0.2774379543745299,0.2831431416098644,0.501378791677112,0.510581807970182,27.415824068425202,27.565823310473142,,,
44.17062526144672,-19.421761202620033,bursting,bursting,81,81,15.5,15.5,0.26735380732015157,0.25907237512742104,0.5258729490954983,0.5096839959225279,27.466323396118202,27.570662482580197,,,
44.17062526144672,-18.91369146338961,bursting,bursting,79,83,16.0,16.0,0.2771601375260371,0.2821075464083941,0.5019198434010088,0.5044390637610976,27.42732669993286,27.218624483754542,,,
