peaks,spike_count,mean_isi,cv_isi,n_bursts,mean_spikes_per_burst,interburst_freq,intraburst_freq,duty_cycle,regime
65754,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
66424,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
67101,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
67785,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
68478,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
69182,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
69899,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
70631,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
71382,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
72156,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
72961,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
73812,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
74753,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
109138,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
109795,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
110453,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
111114,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
111780,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
112451,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
113128,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
113813,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
114507,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
115212,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
115930,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
116664,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
